received_on,operator,volunteer,event_type,response_date,age,sex,duration,location,location_slug,location_type,latitude,longitude,topics_list,topics_count,topic_A1,topic_A2,topic_B1,topic_B2,topic_B3,topic_B4,topic_C1,topic_C2,topic_D1,topic_D2,topic_D3,topic_E1,topic_E10,topic_E2,topic_E3,topic_E4,topic_E5,topic_E6,topic_E7,topic_E8,topic_E9,topic_F1,topic_F10,topic_F11,topic_F12,topic_F2,topic_F3,topic_F4,topic_F5,topic_F6,topic_F7,topic_F8,topic_F9,topic_G1,topic_H1,topic_H2,topic_H3
2013-11-24T18:27:04.311000,orange,sos,RING,2013-11-25T11:02:00,16,F,1,KALABANCORO,25029250,village,12.57,-8.03,H1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,
2013-11-24T18:41:34.191000,orange,sos,RING,2013-11-25T11:14:00,30,F,1,NIAMAKORO,91096496,village,,,A2,1,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-24T18:50:09.932000,orange,sos,RING,2013-11-25T10:36:00,29,M,4,BAGADADJI,91092001,village,,,G1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,
2013-11-24T21:54:42.456000,malitel,sos,RING,2013-11-25T10:58:00,30,M,2,MISSIRA,91092541,village,,,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-24T20:18:46.298000,malitel,sos,RING,2013-11-25T11:05:00,32,M,1,BAMAKO-COURA BOLIBANA EX-BASE,91093221,village,,,F9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,
2013-11-25T07:42:12.751000,orange,sos,RING,2013-11-25T10:52:00,18,M,2,DOUMAZANA,91091334,village,,,E5,1,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
2013-11-24T22:47:08,orange,sos,CALL_ME,2013-11-25T10:47:00,22,M,3,KALABANCORO,25029250,village,12.57,-8.03,E6,1,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
2013-11-24T21:07:49,orange,sos,CALL_ME,2013-11-25T10:44:00,27,F,1,NIAMAKORO,91096496,village,,,H1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,
2013-11-25T08:11:17.145000,orange,sos,RING,2013-11-25T12:08:00,16,M,1,KIGNAN,31037331,village,11.85,-6.01,H1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,
2013-11-24T19:46:50.286000,orange,sos,RING,2013-11-25T12:20:00,30,M,1,BOUGOUFIE,51091001,village,14.48,-4.19,H1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,
2013-11-24T20:16:27.547000,malitel,sos,RING,2013-11-25T12:24:00,,M,22,,,,,,H1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,
2013-11-23T17:50:01,orange,sos,CALL_ME,2013-11-25T13:03:00,19,M,1,BADALABOUGOU,91095100,village,,,A2,1,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-24T18:54:20,orange,sos,SMS_HOTLINE,2013-11-25T13:00:00,15,F,1,KALIFABOUGOU,25031499,village,12.95,-8.17,A2,1,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-25T14:31:02.911000,orange,sos,RING,2013-11-25T14:31:00,32,F,2,YIRIMADJO,91096892,village,,,H1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,
2013-11-22T17:53:41,orange,sos,CALL_ME,2013-11-22T17:53:00,18,M,3,BAMAKO-COURA,91093166,village,,,A2,1,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-22T18:21:34.930000,malitel,sos,RING,2013-11-22T18:21:00,33,F,5,ALIOU,81091001,village,18.43,1.41,"A1, A2",2,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-22T18:38:27,orange,sos,CALL_ME,2013-11-22T13:38:00,32,M,2,BELECO,21056019,village,13.38,-7.68,"B4, C1",2,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-22T22:08:58,orange,sos,CALL_ME,2013-11-22T16:08:00,25,F,1,BALLE SEYNA,54091001,village,13.91,-4.46,"A2, B2",2,,true,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-22T21:14:01.106000,orange,sos,RING,2013-11-22T14:14:00,33,F,6,QUARTIER MALI,91095496,village,,,"A1, A2",2,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-22T23:28:36.592000,orange,sos,RING,2013-11-22T14:28:00,25,M,2,ALGASSOUBA,62031001,village,16.18,-3.21,A2,1,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
